shelfmark,title,additional_titles,authors,language,language_codes,date,place,source_file
CAJS Rar Ms 488,Kaṿanot u-fesuḳim le-seder ha-Hagadah shel Pesaḥ.|[כוונות ופסוקים לסדר ההגדה של פסח],"","","Hebrew, with some words of Aramaic",heb|ara,1650?-1699?,Italy,Data/0002/kcajs_rar_ms488/data/kcajs_rar_ms488_TEI.xml
Ms. Coll. 390 Item 2523,Japaśaṃkarapārvatīpate|जपशंकरपार्वतीपते,"",Upamanyu,In Sanskrit,san,"","",Data/0002/mscoll390_item2523/data/mscoll390_item2523_TEI.xml
Oversize Ms. Codex 724,Biblia,"Prologue, f. 1r|Genesis, f. 3v|Exodus, f. 18v|Leviticus, f. 31r|Numbers, f. 40r|Deuteronomy, f. 52v|Joshua, f. 64v|Judges, f. 72v|Ruth, f. 81v|Kings 1, f. 83v|Kings 2, f. 92r|Kings 3, f. 101v|Kings 4, f. 112r|Chronicles 1, f. 121v|Chronicles 2, f. 130r|Esdras 1, f. 140r|Nehemiah, f. 142v|Esdras 2, f. 146r|Tobit, f. 150r|Judith, f. 152v|Esther, f. 156r|Job, f. 159v|Psalms, f. 166r|Proverbs, f. 180r|Ecclesiastes, f. 184v|Song of Solomon, f. 186v|Wisdom, f. 187v|Ecclesiasticus, f. 191r|Isaiah, f. 201r|Jeremiah, f. 213r|Lamentations, f. 226v|Baruch, f. 228r|Ezekiel, f. 230r|Daniel, f. 242r|Hosea, f. 247v|Joel, f. 249v|Amos, f. 250r|Obadiah, f. 251v|Jonah, f. 252r|Micah, f. 252v|Nahum, f. 253v|Habakkuk, f. 254v|Zephaniah, f. 255r|Haggai, f. 255v|Zachariah, f. 256r|Malachi, f. 258r|Maccabees 1, f. 259r|Maccabees 2, f. 267r|Matthew, f. 272v|Mark, f. 280v|Luke, f. 285v|John, f. 294r|Romans, f. 300r|Corinthians 1, f. 303r|Corinthians 2, f. 305v|Galatians, f. 307v|Ephesians, f. 308v|Philippians, f. 309v|Colossians, f. 310r|Thessalonians 1, f. 311r|Thessalonians 2, f. 311v|Timothy 1, f. 312r|Timothy 2, f. 312v|Titus, f. 313r|Philemon, f. 313v|Hebrews, f. 313v|Acts, f. 316r|James, f. 324r|Peter 1, f. 324v|Peter 2, f. 325v|John, f. 326r|John 2, f. 326v|John 3, f. 326v|Revelation, f. 327r","",Latin,lat,ca. 1275-1299,"Arras, France",Data/0002/mscodex724/data/mscodex724_TEI.xml
Ms. Coll. 390 Item 1194,Atharvaśiropaniṣad|अथर्वशिरोपनिषद्,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item1194/data/mscoll390_item1194_TEI.xml
Ms. Codex 77,Senecae tragediae cum commento,"Hippolytus, p. 1|Oedipus, p. 14|Troades, p. 68|Medea, p. 132|Agamemnon, p. 185|Octavia, p. 217|Hercules Oetaeus, p. 255","",Latin,"",ca. 1360-1370,England,Data/0002/mscodex77/data/mscodex77_TEI.xml
Ms. Coll. 390 Item 2711,Nalodaya.|नलोदय,"",Kālidāsa,In Sanskrit,san,"","",Data/0002/mscoll390_item2711/data/mscoll390_item2711_TEI.xml
Ms. Codex 516,Traité du lapis des philosophes,"Traite? du lapis des philosophes, f. 2r|Commentaire sur le lapis des philosophes...par le S[ieu]r [Gaston] Duclos, f. 22r|Oeuvre du cyon verd...par Jacques le Tesson, f. 46r|Deuxie?me dialogue sur la conduite des philosophes ou le grand cheriacque des philosophes par Jacques le Tesson, [and] Sommaire de la pre?ce?dente conduite en forme de pratique, f. 72r|[Troisie?m]e traite? de Tesson, f. 111v","",French,"",before 1778,France,Data/0002/mscodex516/data/mscodex516_TEI.xml
Ms. Coll. 390 Item 758,Nirghaṭi|निर्घटि,"",Dhanvantarī (Founder of Ayurveda),In Sanskrit,san,"","",Data/0002/mscoll390_item758/data/mscoll390_item758_TEI.xml
Ms. Indic 15,Citrabandhastotra,"","",In Sanskrit,"","","",Data/0002/msindic15/data/msindic15_TEI.xml
Halper 414,Letter to Judah ben Moses ben Sujmar of Fustat,"","",Judeo-Arabic,jrb,"","Mazara, Sicily",Data/0002/h414/data/h414_TEI.xml
Ms. Coll. 390 Item 1134,Vākyavṛtti|वाक्यवृत्ति,"",Śaṅkarācārya,In Sanskrit,san,"","",Data/0002/mscoll390_item1134/data/mscoll390_item1134_TEI.xml
Ms. Coll. 390 Item 1908,Vṛddhayavana|वृद्धयवन,"",Yavanācārya,In Sanskrit,san,"","",Data/0002/mscoll390_item1908/data/mscoll390_item1908_TEI.xml
Ms. Coll. 700 Item 100,Las oraciones de la doctrina christiana,"","Berendt, C. Hermann 1817-1878|Quintana, Augustin de","Mixe, with Spanish headings and title page",cai|spa,1871,New York,Data/0002/mscoll700_item100/data/mscoll700_item100_TEI.xml
Ms. Coll. 390 Item 1306,Adhānapaddhati prayoga|आधानपद्धतिप्रयोग,"",Satyāṣāḍha,In Sanskrit,san,"","",Data/0002/mscoll390_item1306/data/mscoll390_item1306_TEI.xml
Ms. Coll. 49 Folder 66,Consejo de Inquisición (Spain) genealogy for Boris Bernat,"","",In Spanish,spa,"","",Data/0002/mscoll49_f66/data/mscoll49_f66_TEI.xml
Ms. Coll. 390 Item 2583,Rāmāṣṭaviṃśatināmastotra|रामाष्टविंशतिनामस्तोत्र,"",Laksmana,In Sanskrit,san,"","",Data/0002/mscoll390_item2583/data/mscoll390_item2583_TEI.xml
Ms. Codex 784,"La veritable methode pour faire toutes sortes d'essences, d'eaux et de liqueurs rafraichissantes a la mode d'italie","","",French,"",169-,"",Data/0002/mscodex784/data/mscodex784_TEI.xml
Ms. Coll. 390 Item 1762,Dhātupāṭha|धातुपाठ,"",Pāṇini,In Sanskrit,san,"","",Data/0002/mscoll390_item1762/data/mscoll390_item1762_TEI.xml
Halper 242,Part of a collection ot Seliḥot,"","",Hebrew,heb,"",Orient,Data/0002/h242/data/h242_TEI.xml
Ms. Coll. 390 Item 3035,Puruṣasūkta|पुरुषसूक्त,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item3035/data/mscoll390_item3035_TEI.xml
Ms. Coll. 390 Item 932,Saṃhitopaniṣadvivaraṇa|संहितोपनिषद्विवरण,"",Śaṅkarācārya,In Sanskrit,san,"","",Data/0002/mscoll390_item932/data/mscoll390_item932_TEI.xml
Ms. Coll. 764 Item 218,Camera Apostolica prisoner release order,"","Arquini, Luigi de",In Latin,lat,"","",Data/0002/mscoll764_item218/data/mscoll764_item218_TEI.xml
378.748 POM 12.20 Pt.2,An Inaugural Dissertation On Dyspepsia /,Title page,"Wydown, James Lewis","",eng,1827,"",Data/0002/378_748_pom_12_20_pt2/data/378_748_pom_12_20_pt2_TEI.xml
Ms. Coll. 390 Item 1550,Rasamañjarī|रसमञ्जरी,"",Bhānudatta Miśra,In Sanskrit,san,"","",Data/0002/mscoll390_item1550/data/mscoll390_item1550_TEI.xml
Halper 70,Notes for a treatise in Judeo-Arabic on the significance of words,"","",Judeo-Arabic; Hebrew,jrb|heb,"",Orient,Data/0002/h070/data/h070_TEI.xml
Ms. Coll. 390 Item 1796,Bālabodhinī|बालबोधिनी,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item1796/data/mscoll390_item1796_TEI.xml
Ms. Coll. 390 Item 34,Nirukta pūrvaṣaṭka|निरुक्त पुर्वशट्क,"",Yāska,In Sanskrit,san,"","",Data/0002/mscoll390_item34/data/mscoll390_item34_TEI.xml
Ms. Codex 314,Raggualgio delle piazze de cambi e moneta,"Qualita? di ogni sorte di moneta d'oro e argento, p. 1 [=1r]|Del modo di fare gli arbitrii ..., f. 65r|Catalog of 140 books, p. 78 [=101v]","",Italian,"",1632-1648,Italy,Data/0002/mscodex314/data/mscodex314_TEI.xml
Ms. Coll. 390 Item 2113,Saṃgrahavākyakṛti|वाक्यवृत्ति,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item2113/data/mscoll390_item2113_TEI.xml
Oversize Ms. Codex 1871,Rechnung vom Schiffmeister Ampt.,Rechnung vom Schiffmeister Ampt,"Schindler, Sebastian, 16th century",German; liturgical text on covers in Latin,ger|lat,1585-1586,Switzerland,Data/0002/mscodex1871/data/mscodex1871_TEI.xml
Ms. Codex 126,Alchemical-pharmaceutical notebook,"Poudre universelle, f. 12v|Misterio filosofico della segreta preparatione della pietra, e nella materia del sale, f. 35v|Nitro detonato e conservato, f. 64v|Opus Photum a Friderico Gualdi descriptum, f. 81r|La Manie?re de faire le sel et soulphre d?antimoine, f. 93r|Metodo occultissima all?universal medicina, f. 107r","","French, with some Italian, Spanish and Latin",fre|ita|spa|lat,ca. 1739-1771,Italy,Data/0002/mscodex126/data/mscodex126_TEI.xml
Ms. Coll. 390 Item 2321,Upaśamaprakaraṇa|उपशमप्रकरण,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item2321/data/mscoll390_item2321_TEI.xml
Ms. Coll. 1120,Archer family account books and notebooks,"","Archer, Henry Wilson, 1813-1887|Archer, John, 1777-1830","",eng,1797-1851,"",Data/0002/mscoll1120_box1_f1/data/mscoll1120_box1_f1_TEI.xml
Halper 84,"Midrash rabbah, Leviticus 25:2-26:3","","",Hebrew; Official Aramaic (700-300 BCE); Imperial Aramaic (700-300 BCE),heb|arc,"",Orient,Data/0002/h084/data/h084_TEI.xml
Ms. Codex 23,Sharḥ Mukhtaṣar ʻalá Alfīyat Ibn Mālik.|شرح مختصر على ألفية ابن مالك,Sharḥ Mukhtaṣar ʻalá Alfīyat Ibn Mālik.,"Makkūdī, ʻAbd al-Raḥmān ibn ʻAlī, -1404 or 1405|Ibn Mālik, Muḥammad ibn ʻAbd Allāh, -1274",Arabic,ara,17--?,North Africa?,Data/0002/mscodex23/data/mscodex23_TEI.xml
Ms. Coll. 390 Item 2745,Śrāddhādhikāra|श्राद्धाधिकार,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item2745/data/mscoll390_item2745_TEI.xml
Ms. Codex 542,Memorie particulari della città de Firenze e comincia l'anno MDCXIII essendo Sommo Pontefice Paolo V et Imperatore Mattia I e Gran Duca di Toscana Cosimo II,"","",Italian,"",after 1635,Florence?,Data/0002/mscodex542/data/mscodex542_TEI.xml
Oversize Ms. Codex 1429,Ledger of Davanzati (?) accounts,"","",Italian,ita,1555-1560,Italy,Data/0002/mscodex1429/data/mscodex1429_TEI.xml
Ms. Coll. 390 Item 2577,Parāśarasmṛti|पराशरस्मृति,"",Parāśara,In Sanskrit,san,"","",Data/0002/mscoll390_item2577/data/mscoll390_item2577_TEI.xml
Ms. Codex 770,Commentarius in IV libros de coelo Aristotelis a Joanne Zorn exceptus,"","",Latin,"",between 1600 and 1650,Germany,Data/0002/mscodex770/data/mscodex770_TEI.xml
Ms. Coll. 390 Item 303,Kāśīprakaraṇa|काशीप्रकरण,"",Nārāyaṇa Bhaṭṭa,In Sanskrit,san,"","",Data/0002/mscoll390_item303/data/mscoll390_item303_TEI.xml
Oversize Ms. Codex 1086,"Einn schönn neu Liedt vonn dem abgefallnenn unnd ubell erweldenn Bischoff von Collnn, im Thonn wie mann denn armenn Judas singt.","","","German, with Latin phrases",ger|lat,after 1583,Cologne?,Data/0002/mscodex1086/data/mscodex1086_TEI.xml
Ms. Coll. 390 Item 131,Sarvalakṣapūjāvidhi|सर्वलक्षपूजाविधि,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item131/data/mscoll390_item131_TEI.xml
Ms. Coll. 764 Item 227,Clement XI bull,"","Clement XI, Pope, 1649-1721",In Latin,lat,"","",Data/0002/mscoll764_item227/data/mscoll764_item227_TEI.xml
Ms. Coll. 390 Item 555,Bhagavadgītā|[भगवद्गीता],"",Śrīdharasvāmin,In Sanskrit,san,"","",Data/0002/mscoll390_item555/data/mscoll390_item555_TEI.xml
Ms. Coll. 390 Item 1339,Śāntipaddhati|शान्तिपद्धति,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item1339/data/mscoll390_item1339_TEI.xml
378.748 POM 53.14,An Essay on The Sympathy of the Brain with the Stomach :,Title page,"Cobbs, John L","",eng,1825,"",Data/0002/378_748_pom_53_14/data/378_748_pom_53_14_TEI.xml
Ms. Coll. 390 Item 1937,Jaiminīyanyāyamālāvistara.|जैमिनीयन्यायमालाविस्तर,"","Mādhava, -1386",In Sanskrit,san,"","",Data/0002/mscoll390_item1937/data/mscoll390_item1937_TEI.xml
Ms. Coll. 591 Folder 11,Breviary leaf,"","",In Dutch,dut,"","",Data/0002/mscoll591_f11/data/mscoll591_f11_TEI.xml
Ms. Coll. 390 Item 767,Dinakaradyota|दिनकरद्योत,"","Dinakarabhaṭṭa, fl. 1575-1640",In Sanskrit,san,"","",Data/0002/mscoll390_item767/data/mscoll390_item767_TEI.xml
Ms. Codex 589,Ragionamenti ... colli quali ad istanza degli eccmi. signori della città di napoli prova non doversi ricevere in questo religiosissimo regno l'odioso tribunale dell'inquisizione,"Table of contents, p. 163","",Italian,"","","",Data/0002/mscodex589/data/mscodex589_TEI.xml
Ms. Coll. 390 Item 2548,Kuntyuktastotra|कुन्त्युक्तस्तोत्र,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item2548/data/mscoll390_item2548_TEI.xml
Ms. Codex 1624,Christian Cramers regnebog,"Autobiographical notes, f. i verso|Christian Cramers Colloquium Arithmeticum..., f. 1r|Christian Cramers Anviisning ... , f. 80r|Arithmetica Tyronica..., f. 151r|Algebra Tyronica, F?rste Part, f. 388r|Algebra Tyronica, Anden Part, f. 437r|Geometria Tyronica, f. 507r|En Ny oc Konstrig Illuminer-Bog, f. 575r|Additional notes, f. 632r","","Danish, with occasional words in Latin",dan|lat,1792,Jutland,Data/0002/mscodex1624/data/mscodex1624_TEI.xml
Ms. Coll. 390 Item 793,Dhanaṃjayanirghaṇṭa|धनंजयनिर्घण्ट,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item793/data/mscoll390_item793_TEI.xml
Ms. Codex 1416,Ledger of Cassi accounts,"","",Italian,"",1621-1625,Italy,Data/0002/mscodex1416/data/mscodex1416_TEI.xml
378.748 POM 20.3,Of Puerperal Fever.,Title page,"","",eng,1826,"",Data/0002/378_748_pom_20_3/data/378_748_pom_20_3_TEI.xml
Ms. Codex 925,"De amore et dilectione dei et proximi, ac de forma vitae . . . etc.","List of contents, f. i recto|Liber de amore et dilectione dei, f. 1r|Liber consolationis et consilii, f. 50r|Liber de doctrina dicendi et tacendi, f. 77v|Epistola, f. 85r|Epistola ad senatum romanum, f. 86v","Albertano, da Brescia, 13th cent|Lentulus, Publius|Bernard, of Clairvaux, Saint, 1090 or 91-1153",Latin,lat,ca. 1400-1425,"Veneto?, Italy",Data/0002/mscodex925/data/mscodex925_TEI.xml
Ms. Codex 1072,De l'origine et des productions de l'imprimerie primitive en taille de bois ... etc.,"Dissertation sur l'origine et les progre?s de l'art de graver en bois, f. 1r|De l'origine et des productions de l'imprimerie primitive en taille de bois, f. 17r|Observations sur un ouvrage intitule? Vindiciae typographicae, f. 70r|Lettre sur l'origine de l'imprimerie, f. 83r|Remarques sur un ouvrage intitule? Lettre sur l'origine de l'imprimerie, f. 93r","",French,fre|ita,after 1761,France?,Data/0002/mscodex1072/data/mscodex1072_TEI.xml
Ms. Codex 119,Of the great mysterie of antimonie,"","","","",16--,England,Data/0002/mscodex119/data/mscodex119_TEI.xml
Ms. Codex 1240,"Loblicher Eijdgnossschafft Pündtnussenn und Verträg, theils under sich selbsten theils mit anderen Ständen aufgericht","Table of contents, f. ii recto","","German, with 3 items in French (f. 229v-231r), and Latin in legal citations and terms (f. 227r-228v), and in attestations on imperial documents",ger|fre|lat,after 1687,Switzerland,Data/0002/mscodex1240/data/mscodex1240_TEI.xml
378.748 POM 9.14,Dysentery.,Title page,"Kennedy, Stewart","",eng,1820,"",Data/0002/378_748_pom_9_14/data/378_748_pom_9_14_TEI.xml
Ms. Coll. 742 Folder 119,Giovanni d'Andrea di Nanni Todeschini Piccolomini grant of legitimation,"","Piccolomini, Giovanni d'Andrea di Nanni Todeschini, 1475-1537",In Latin,lat,"","",Data/0002/mscoll742_f119/data/mscoll742_f119_TEI.xml
Halper 289,Yotser for the Sabbath of the reading of Nitsavim (Devarim 29:9,"","",Hebrew,heb,"",Orient,Data/0002/h289/data/h289_TEI.xml
378.748 POM 36.13,A Dissertation On Tetanus /,Title page,"Dent, Levi","",eng,1823,"",Data/0002/378_748_pom_36_13/data/378_748_pom_36_13_TEI.xml
Penn CAJS: RAR MS 82.313.25,Lamentations 3:54-4:9,"","",Hebrew,heb,"",Orient,Data/0002/82_313_25/data/82_313_25_TEI.xml
Ms. Coll. 390 Item 599,Viparītapratyaṅgirā,"","",In Sanskrit (Devanāgarī),san,"","",Data/0002/mscoll390_item599/data/mscoll390_item599_TEI.xml
Ms. Coll. 390 Item 2570,Dharmmaśāstrasmṛti|धर्म्मशास्त्रस्मृति,"",Aṅgiras,In Sanskrit,san,"","",Data/0002/mscoll390_item2570/data/mscoll390_item2570_TEI.xml
Ms. Codex 777,Commentarius in universam Aristotelis logicam copiosus,"","",Latin,"",1608-1609,Dillingen,Data/0002/mscodex777/data/mscodex777_TEI.xml
Ms. Coll. 390 Item 2742,Kṣauravidhi|क्षौरविधि,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item2742/data/mscoll390_item2742_TEI.xml
Ms. Codex 24,al-Juzʼ al-thalāthūn.|الجزء الثلاثون,al-Juzʼ al-thalāthūn.,"",Arabic,ara,between 1750 and 1850?,"",Data/0002/mscodex24/data/mscodex24_TEI.xml
Ms. Codex 545,"Raccolta di lettere della segretaria di stato, scritte à Monsig. Arcivescovo Tomaso Vidoni in tempo che era in Malta inquisitore apostolico, e poi nunzio a Firenze dal MDCLXXXVI fino al MDCXCVII","","","Italian, with some official dispatches in Latin",ita|lat,1686-1697,"",Data/0002/mscodex545/data/mscodex545_TEI.xml
Ms. Codex 121,"De divinatione mortis, et vitae Petosyris ad Necepsum Regem Aegypti Epistola","","",Latin,"",16--,Italy,Data/0002/mscodex121/data/mscodex121_TEI.xml
Ms. Coll. 390 Item 2326,Athaviṣṇusahasranāma|अथविष्णुसहरनाम,"","",In Sanskrit (Devanāgarī),san,"","",Data/0002/mscoll390_item2326/data/mscoll390_item2326_TEI.xml
378.748 POM 28.7,Leucorrhoea or Fluor albus. /,Title page,"Royster, Richard William","",eng,1821,"",Data/0002/378_748_pom_28_7/data/378_748_pom_28_7_TEI.xml
Halper 83,Baraita di-melekhet ha-mishkan 6-10,"","",Hebrew; Official Aramaic (700-300 BCE); Imperial Aramaic (700-300 BCE),heb|arc,"",Orient,Data/0002/h083/data/h083_TEI.xml
Ms. Coll. 390 Item 1791,Grahalāghava|ग्रहलाघव,"","Gaṇeśadaivajña, active 1520-1554",In Sanskrit,san,"","",Data/0002/mscoll390_item1791/data/mscoll390_item1791_TEI.xml
Ms. Coll. 742 Folder 121,Notarial document,"","Adrian VI, Pope, 1459-1523",In Latin,lat,"","",Data/0002/mscoll742_f121/data/mscoll742_f121_TEI.xml
378.748 POM 22.9,An Inaugural Dissertation on Hepatitis.,Title page,"Spiller, George Augustus","",eng,1820,"",Data/0002/378_748_pom_22_9/data/378_748_pom_22_9_TEI.xml
Ms. Coll. 390 Item 33,Kuntāpādhyāya,"","",In Sanskrit (Devanāgari),san,"","",Data/0002/mscoll390_item33/data/mscoll390_item33_TEI.xml
Oversize Ms. Codex 1278,Ledger of Medici debtors and creditors,"","",Italian,ita,ca. 1537,Italy,Data/0002/mscodex1278/data/mscodex1278_TEI.xml
Ms. Codex 313,Miscellany of theological and devotional works,"Capitula biblie, f. 1r|Regula, f. 12r|History of Apollonius, f. 14r|Istoria de Santa Euphrosia, f. 23r|De Santo Joanne Heremita, f. 28r|Qualiter humiliatus fuit quidam rex superbus, f. 31r|Vita Amelii, f. 32r","Jerome, Saint, d. 419 or 20","Italian, with first item and some titles in Latin",ita,14--,Italy,Data/0002/mscodex313/data/mscodex313_TEI.xml
Ms. Coll. 390 Item 2114,Siddhāntamuktāvalī|सिद्धान्तमुक्तावली,"",Viśvanātha Nyāyapañcānana Bhaṭṭācārya,In Sanskrit,san,"","",Data/0002/mscoll390_item2114/data/mscoll390_item2114_TEI.xml
CAJS Rar Ms 279,Mukhtaṣar fī al-maʻānī.|[مختصر في المعاني],[Mukhtaṣar fī al-maʻānī].,"Taftāzānī, Masʻūd ibn ʻUmar, 1322-1389?|Qazwīnī, Jalāl al-Dīn Muḥammad ibn ʻAbd al-Raḥmān, 1267 or 1268-1338",Arabic,ara,between 1600 and 1799?,"",Data/0002/kcajs_rar_ms279/data/kcajs_rar_ms279_TEI.xml
Ms. Coll. 390 Item 1557,Naiṣadha.|नैषध,"","Śrīharṣa, active 12th century",In Sanskrit,san,"","",Data/0002/mscoll390_item1557/data/mscoll390_item1557_TEI.xml
